Unnamed: 0,star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color,distance_type,log_diameter,B-V,star_temp
1672,Cordoba Durchmusterung -25°225,50.7,15.5,0.88,V,+6.23,+5.27,0.68,,60,-0.05551732784983136,1.0,4958.1
1673,Gliese & Jahreiss 1015,75.3,23.1,0.0133,V,+14.02,+12.20,0.0011,B-V= +1.55,80,-1.876148359032914,1.55,4116.93
1675,Cordoba Durchmusterung -42°249,52.3,16.0,0.69,V,+8.41,+7.39,0.097,"B-V= +1.17, U-B= +1.14, R-I= +0.49",60,-0.1611509092627447,1.17,4654.51
1676,Cordoba Durchmusterung -37°273,163.0,50.0,0.84,V,+7.85,+4.35,1.58,"B-V= +0.54, U-B= -0.03, R-I= +0.21",180,-0.07572071393811836,0.54,6109.98
1677,Eta Cassiopeiae,19.42,5.953,1.011,V,+3.45,+4.58,1.287,"B-V= +0.57, U-B= +0.02, R-I= +0.22",20,0.00475115559100102,0.57,6014.13
1679,Cordoba Durchmusterung -23°332,49.6,15.2,0.69,V,+8.95,+8.04,0.053,"B-V= +1.29, U-B= +1.12, R-I= +0.55",60,-0.1611509092627447,1.29,4466.42
1682,Mu Cassiopeiae,24.63,7.553,0.739,VI,+5.17,+5.78,0.425,"B-V= +0.69, U-B= +0.09, R-I= +0.28",40,-0.13135556160517425,0.69,5665.36
1683,Bonner Durchmusterung +22°176,67.7,20.7,0.8,V,+8.41,+6.83,0.16,"B-V= +1.12, U-B= +1.06, R-I= +0.43",80,-0.09691001300805638,1.12,4738.91
1685,37 Ceti,79.5,24.4,1.15,V,+5.13,+3.19,4.62,"B-V= +0.45, U-B= -0.06, R-I= +0.16",80,0.06069784035361165,0.45,6422.06
1687,Kappa Tucanae,66.6,20.4,1.12,V-VI,+4.99,+3.44,3.67,,80,0.049218022670181646,1.0,4958.1
1688,Bonner Durchmusterung -1°167,90.2,27.7,0.82,V,+8.00,+5.79,0.42,"B-V= +0.82, U-B= +0.44, R-I= +0.30",100,-0.08618614761628333,0.82,5339.72
1692,Bonner Durchmusterung -13°249,98.6,30.2,0.82,IV,+7.85,+5.45,0.58,"B-V= +0.90, U-B= +0.70, R-I= +0.28",100,-0.08618614761628333,0.9,5161.34
1693,Cordoba Durchmusterung -24°658,63.6,19.5,0.83,V,+6.97,+5.52,0.54,"B-V= +0.76, U-B= +0.32, R-I= +0.38",80,-0.0809219076239261,0.76,5484.05
1694,Dawson 31,77.1,23.6,0.79,V,+7.78,+5.91,0.38,,80,-0.10237290870955855,1.0,4958.1
1695,P Eridani,26.6,8.15,0.79,V,+5.80,+6.25,0.28,"B-V= +0.86, U-B= +0.57, R-I= +0.30",40,-0.10237290870955855,0.86,5248.64
1696,Chi Ceti,77.0,23.6,1.62,III,+4.65,+2.78,6.70,"B-V= +0.33, U-B= +0.03, R-I= +0.08",80,0.20951501454263097,0.33,6907.02
1698,Chi Eridani,57.0,17.5,3.19,IV,+3.70,+2.49,8.82,"B-V= +0.85, U-B= +0.45, R-I= +0.31",60,0.5037906830571811,0.85,5271.04
1699,Bonner Durchmusterung -10°403,111.0,34.0,0.97,IV,+6.43,+3.77,2.70,"B-V= +0.82, U-B= +0.46, R-I= +0.29",120,-0.013228265733755159,0.82,5339.72
1702,Cordoba Durchmusterung -46°604,160.0,49.2,0.86,V?,+7.31,+3.85,2.51,"B-V= +0.69, U-B= +0.22, R-I= +0.37",180,-0.06550154875643228,0.69,5665.36
1705,Bonner Durchmusterung -1°293,121.0,37.0,0.97,V,+6.90,+4.06,2.07,"B-V= +0.61, U-B= +0.16, R-I= +0.21",140,-0.013228265733755159,0.61,5892.01
1706,66 Ceti,150.0,46.1,1.06,V,+5.70,+2.38,9.70,"B-V= +0.56, U-B= +0.07, R-I= +0.19",160,0.025305865264770258,0.56,6045.66
1711,Bonner Durchmusterung +3°339,54.2,16.6,0.67,V,+9.36,+8.26,0.043,,60,-0.17392519729917352,1.0,4958.1
1713,Bonner Durchmusterung -20°465,61.7,18.9,0.78,V,+8.86,+7.48,0.089,R-I= +0.48,80,-0.10790539730951958,1.0,4958.1
1715,Bonner Durchmusterung +6°398,23.51,7.209,0.725,V,+5.79,+6.50,0.218,"B-V= +0.98, U-B= +0.80, R-I= +0.36",40,-0.13966199342900631,0.98,4997.14
1716,Epsilon Ceti,88.2,27.0,1.44,V,+5.50,+3.34,4.02,,100,0.15836249209524964,1.0,4958.1
1717,Gamma Ceti,82.0,25.1,3.24,V,+3.56,+1.56,20.7,"B-V= +1.36, U-B= +1.28, R-I= +0.57",100,0.5105450102066121,1.36,4365.15
1718,Theta Persei,36.64,11.23,1.69,V,+4.13,+3.88,2.449,"B-V= +0.49, U-B= +0.00, R-I= +0.18",40,0.22788670461367352,0.49,6278.54
1720,Bonner Durchmusterung +26°465,73.0,22.4,0.76,V,+7.61,+5.86,0.39,"B-V= +0.83, U-B= +0.43",80,-0.11918640771920865,0.83,5316.58
1722,Cordoba Durchmusterung -36°1091,96.4,29.6,0.79,V,+8.23,+5.88,0.39,"B-V= +0.93, U-B= +0.65, R-I= +0.36",100,-0.10237290870955855,0.93,5098.2
1723,Bonner Durchmusterung +26°484,74.6,22.9,0.85,V,+7.60,+5.80,0.42,"B-V= +0.93, U-B= +0.71, R-I= +0.30",80,-0.07058107428570727,0.93,5098.2
1731,Alpha Fornacis,46.03,14.11,1.881,IV,+3.95,+3.20,4.563,,60,0.2743887955503789,1.0,4958.1
