star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Bonner Durchmusterung +7°3180,57.8,17.7,0.73,V,+8.83,+7.59,0.080,"B-V= +1.23, U-B= +1.22, R-I= +0.50"
Gamma Apodis,160,48.9,11.0,IV,+3.88,+0.43,58.4,"B-V= +0.91, U-B= +0.62, R-I= +0.44"
Bonner Durchmusterung +25°3086,80,24,,V-VI,+8.23,+6.30,0.3,
Ross 640,51.0,15.6,0.014,wd,+13.85,+12.88,0.00061,"B-V= +0.17, U-B= -0.67"
Giclas 153-57,72,22,,V-VI,+12.27,+10.55,0.005,"B-V= +1.52, U-B= +1.43, R-I= +1.09"
Wolf 1061,13.91,4.264,0.3,V,+10.10,+11.95,0.00145,"B-V= +1.58, U-B= +1.18, R-I= +1.20"
Cordoba Durchmusterung -38°11019,80.3,24.6,0.84,V,+7.24,+5.29,0.67,"B-V= +0.86, U-B= +0.48, R-I= +0.34"
Luyten 8-61,80,24,,wd,+14.58,+12.64,0.0008,"B-V= +0.22, U-B= -0.63"
Bonner Durchmusterung +3°3215,139,42.6,0.74,V,+8.85,+5.70,0.46,"B-V= +0.88, U-B= +0.54, R-I= +0.34"
Catalogue Astrographique +33°45152,122,37.3,,V,+11.04,+8.18,0.046,"B-V= +1.34, U-B= +1.27, R-I= +0.60"
Giclas 180-63,49.0,15.0,,wd,+14.82,+13.93,0.00023,"B-V= +0.42, U-B= -0.42"
12 Ophiuchi,31.89,9.778,1.335,V,+5.76,+5.81,0.412,"B-V= +0.82, U-B= +0.42, R-I= +0.28"
Bonner Durchmusterung +80°519,88.8,27.2,0.87,V,+7.03,+4.85,1.00,"B-V= +0.62, U-B= +0.06"
Bonner Durchmusterung +31°2875,83.5,25.6,0.68,V,+9.49,+7.45,0.091,"B-V= +1.20, U-B= +1.16, R-I= +0.46"
Catalogue Astrographique +5°125-28,171,52.4,,VI,+10.22,+6.62,0.20,B-V= +0.99
Bonner Durchmusterung +5°3246,124,37.9,0.78,V,+8.63,+5.73,0.44,"B-V= +0.89, U-B= +0.60"
Bonner Durchmusterung -2°4230,96.4,29.6,0.89,V,+7.25,+4.89,0.96,"B-V= +0.64, U-B= +0.07, R-I= +0.35"
Bonner Durchmusterung -17°4618,391,120,25.8,II,+4.94,-0.46,133,"B-V= +1.11, U-B= +0.87"
Cordoba Durchmusterung -37°10931,65,20,,V,+7.14,+5.64,0.5,B-V= +0.77
Eggen/Greenstein white dwarf 329,67.8,20.8,0.009,wd,+15.06,+13.47,0.00036,"B-V= +0.33, U-B= -0.52"
Bonner Durchmusterung +79°511,414,127,2.51,,+6.32,+0.80,41.8,"B-V= +1.14, U-B= +1.20"
Bonner Durchmusterung +68°883,79.3,24.3,0.85,V,+7.56,+5.63,0.49,"B-V= +0.79, U-B= +0.36"
Bonner Durchmusterung +33°2777,31.87,9.770,0.809,V,+8.10,+8.15,0.0477,"B-V= +1.37, U-B= +1.29, R-I= +0.57"
Cordoba Durchmusterung -30°13458,92,28,,V-VI,+10.59,+8.33,0.04,"B-V= +1.41, U-B= +1.26"
Bonner Durchmusterung +57°1702,87.2,26.7,2.87,V,+4.84,+2.71,7.18,"B-V= +0.38, U-B= -0.06"
Cordoba Durchmusterung -47°11068,57,18,,V,+7.38,+6.16,0.3,"B-V= +0.91, U-B= +0.59, R-I= +0.32"
Bonner Durchmusterung +37°2804,105,32.3,0.77,V,+8.38,+5.84,0.40,"B-V= +0.82, U-B= +0.44"
DN Draconis,35.8,11.0,0.0124,wd,+12.24,+12.04,0.0013,"B-V= +0.18, U-B= -0.64"
Bonner Durchmusterung +39°3048,73.9,22.6,,V-VI,+9.40,+7.63,0.078,"B-V= +1.27, R-I= +0.54"
Bonner Durchmusterung +19°3174,87.3,26.8,0.77,V,+8.88,+6.75,0.17,"B-V= +1.02, U-B= +0.89, R-I= +0.40"
Bonner Durchmusterung +47°2391,99.2,30.4,,V,+9.42,+7.01,0.14,"B-V= +1.19, U-B= +1.12, R-I= +0.42"
Bonner Durchmusterung +38°2847,99.4,30.5,,V,+8.70,+6.28,0.27,"B-V= +1.59, U-B= +1.14, R-I= +0.98"
Bonner Durchmusterung +0°3593,55.2,16.9,0.87,V,+6.63,+5.49,0.55,"B-V= +0.76, U-B= +0.32, R-I= +0.24"
Catalogue Astrographique +12°1155-87,62.2,19.1,,V,+10.75,+9.34,0.016,"B-V= +1.45, U-B= +1.24, R-I= +0.71"
Wolf 629,21.2,6.50,0.3,V,+11.74,+12.68,0.00074,"B-V= +1.69, U-B= +1.35, R-I= +1.21"
Gliese & Jahreiss 1207,31.2,9.58,,V,+12.28,+12.37,0.00098,"B-V= +1.60, U-B= +1.11, R-I= +1.24"
Zeta Arae,78,24,19,III,+3.12,+1.23,28,"B-V= +1.60, U-B= +1.97, R-I= +0.64"
Eggen/Greenstein white dwarf 197,75.9,23.3,0.0136,wd,+14.06,+12.23,0.0011,"B-V= +0.25, U-B= -0.56"
Catalogue Astrographique +13°804-98,124,38,,V,+10.66,+7.75,0.07,"B-V= +1.36, U-B= +1.31, R-I= +0.67"
19 Draconis,49.21,15.09,1.135,V,+4.89,+4.00,2.188,"B-V= +0.48, U-B= -0.03, R-I= +0.17"
Bonner Durchmusterung +25°3173,33.7,10.3,,V,+9.70,+9.63,0.012,"B-V= +1.50, U-B= +1.20, R-I= +0.85"
Cordoba Durchmusterung -61°5703,82,25,,V,+8.84,+6.85,0.2,"B-V= +1.04, U-B= +0.92, R-I= +0.39"
Bonner Durchmusterung -13°4528,85.4,26.2,0.87,V,+7.12,+5.03,0.84,"B-V= +0.58, U-B= +0.10, R-I= +0.33"
Epsilon(2) Arae,85.9,26.3,,V,+5.29,+3.19,4.63,"B-V= +0.50, U-B= +0.01"
Steph 1422,65,20,,V,+10.84,+9.33,0.02,"B-V= +1.50, U-B= +1.22, R-I= +0.78"
Bonner Durchmusterung +47°2420,58.91,18.06,0.87,V,+6.76,+5.48,0.561,"B-V= +0.73, U-B= +0.27"
Cordoba Durchmusterung -28°12769,59.0,18.1,1.28,V,+6.58,+5.29,0.67,"B-V= +0.83, U-B= +0.54, R-I= +0.38"
Wolf 635,35.1,10.8,0.73,V,+7.70,+7.54,0.084,"B-V= +1.16, U-B= +1.06, R-I= +0.49"
Wolf 636,31.2,9.56,,V,+10.08,+10.18,0.0074,"B-V= +1.44, U-B= +1.07, R-I= +0.91"
Bonner Durchmusterung +0°3629,66.5,20.4,1.03,V,+6.00,+4.45,1.44,"B-V= +0.58, U-B= +0.05, R-I= +0.31"
Bonner Durchmusterung +15°3108,47,14,,V,+7.08,+6.27,0.3,"B-V= +0.94, U-B= +0.67"
Cape Photographic Durchmusterung -41°7862,73.4,22.5,0.77,V,+8.30,+6.54,0.21,"B-V= +1.05, U-B= +0.90, R-I= +0.40"
Bonner Durchmusterung +88°105,91,28,0.8,V,+8.32,+6.10,0.3,"B-V= +0.87, U-B= +0.54"
Ross 863,44.1,13.5,,V,+11.61,+10.95,0.0036,"B-V= +1.56, U-B= +1.30, R-I= +1.06"
Eggen/Greenstein white dwarf 494,56.9,17.5,0.0151,wd,+15.19,+13.98,0.00022,"B-V= +0.46, U-B= -0.25"
Cape Photographic Durchmusterung -60°6718,44.6,13.7,0.81,V,+7.39,+6.71,0.18,"B-V= +0.89, U-B= +0.53, R-I= +0.33"
Bonner Durchmusterung +4°3342,68.0,20.8,,,+7.97,+6.38,0.25,
Eta Scorpii,71.6,21.9,3.07,IV,+3.32,+1.61,19.7,"B-V= +0.41, U-B= +0.09, R-I= +0.23"
Catalogue Astrographique -5°4400-84,69.3,21.3,,V-VI,+11.61,+9.97,0.0089,"B-V= +1.46, U-B= +1.06, R-I= +0.76"
Bonner Durchmusterung +56°1954,92.0,28.2,,V,+6.98,+4.73,1.12,"B-V= +0.70, U-B= +0.22"
Gliese & Jahreiss 1212,61.8,19.0,,V?,+12.00,+10.61,0.0049,"B-V= +1.61, U-B= +1.18, R-I= +1.10"
Bonner Durchmusterung +42°2810,77.7,23.8,,V,+10.07,+8.18,0.046,"B-V= +1.27, U-B= +1.13, R-I= +0.63"
Delta Herculis,78.5,24.1,1.99,IV,+3.14,+1.23,28.0,"B-V= +0.08, U-B= +0.08, R-I= +0.03"
Bonner Durchmusterung -12°4699,81.2,24.9,,V,+10.42,+8.44,0.037,"B-V= +1.37, R-I= +0.61"
Bonner Durchmusterung +11°3149,59.0,18.1,,V,+10.80,+9.51,0.014,"B-V= +1.38, U-B= +1.27, R-I= +0.86"
Gliese & Jahreiss 2128,48.7,14.9,,V-VI,+11.49,+10.62,0.0049,"B-V= +1.55, U-B= +1.23, R-I= +1.00"
Cordoba Durchmusterung -23°13297,76,23,,V,+6.59,+4.76,1.1,B-V= +0.62
Cape Photographic Durchmusterung -75°1368,91.0,27.9,,V,+7.00,+4.77,1.07,"B-V= +0.60, U-B= -0.03, R-I= +0.22"
Vyssotsky McCormick 791,64,20,,V-VI,+10.59,+9.13,0.02,"B-V= +1.44, R-I= +0.75"
Bonner Durchmusterung -5°4426,38,12,,V,+6.31,+5.96,0.4,"B-V= +0.85, U-B= +0.47, R-I= +0.31"
Catalogue Astrographique +41°726-154,40.3,12.3,,V-VI,+11.37,+10.91,0.0038,"B-V= +1.56, R-I= +1.04"
72 Herculis,46.94,14.39,0.99,V,+5.39,+4.60,1.256,"B-V= +0.62, U-B= +0.07, R-I= +0.24"
Bonner Durchmusterung -14°4622,86.3,26.5,,V,+10.89,+8.77,0.027,"B-V= +1.41, U-B= +1.34, R-I= +0.62"
Luyten 557-68,76.7,23.5,,V,+11.64,+9.78,0.011,"B-V= +1.50, R-I= +0.87"
Bonner Durchmusterung +2°3312,25.18,7.720,0.830,V,+7.54,+8.10,0.0499,"B-V= +1.36, U-B= +1.27, R-I= +0.60"
44 Ophiuchi,83.7,25.7,1.56,V,+4.17,+2.12,12.4,"B-V= +0.28, U-B= +0.12, R-I= +0.14"
Cordoba Durchmusterung -46°11540,14.80,4.537,0.44,V-VI,+9.38,+11.10,0.00317,"B-V= +1.53, U-B= +1.21, R-I= +1.03"
Bonner Durchmusterung +67°1014,41.74,12.80,0.86,V,+6.44,+5.90,0.380,"B-V= +0.76, U-B= +0.29"
Cordoba Durchmusterung -23°13396,59.3,18.2,,V,+9.61,+8.31,0.041,"B-V= +1.29, R-I= +0.55"
Bonner Durchmusterung +47°2491,72.9,22.3,,V-VI,+7.30,+5.56,0.52,
Bonner Durchmusterung +34°2989,77.3,23.7,1.20,V,+6.54,+4.67,1.18,"B-V= +0.65, U-B= +0.17"
Cape Photographic Durchmusterung -48°9312,31.9,9.78,,V-VI,+10.13,+10.18,0.0074,"B-V= +1.56, U-B= +1.21, R-I= +1.24"
Alpha Ophiuchi,46.7,14.3,3.08,III,+2.08,+1.30,26.3,"B-V= +0.15, U-B= +0.10, R-I= +0.00"
Luyten 270-137,68,21,,wd,+15.80,+14.21,0.0002,"B-V= +0.46, U-B= -0.45"
Cordoba Durchmusterung -44°11909,16.4,5.04,0.27,V-VI,+10.94,+12.43,0.00093,"B-V= +1.65, U-B= +1.20, R-I= +1.26"
Pi Arae,138,42.2,1.38,V,+5.24,+2.12,12.4,"B-V= +0.20, U-B= +0.08, R-I= +0.10"
Cordoba Durchmusterung -42°12320,109,33.6,0.9,V,+7.17,+4.54,1.34,"B-V= +0.65, U-B= +0.18, R-I= +0.34"
Catalogue Astrographique +61°26806,46.0,14.1,,V,+9.98,+9.23,0.018,"B-V= +1.47, U-B= +1.18, R-I= +0.79"
Cordoba Durchmusterung -43°11901,84,26,,V,+7.24,+5.20,0.7,"B-V= +0.72, U-B= +0.24, R-I= +0.24"
Bonner Durchmusterung +18°3421,26.5,8.13,,V,+9.62,+10.07,0.0082,"B-V= +1.53, U-B= +1.08, R-I= +0.86"
Lambda Arae,71.3,21.9,1.2,V,+4.76,+3.06,5.20,"B-V= +0.40, U-B= -0.04, R-I= +0.25"
AOe 17415-6,14.77,4.528,0.45,V,+9.15,+10.88,0.00389,"B-V= +1.50, U-B= +1.06, R-I= +1.10"
Bonner Durchmusterung +3°3465,34.9,10.7,1.23,V,+6.53,+6.38,0.24,"B-V= +0.96, U-B= +0.77, R-I= +0.50"
Bonner Durchmusterung +71°850,62.0,19.0,,V,+8.61,+7.22,0.11,"B-V= +1.10, U-B= +1.04, R-I= +0.43"
Omega Draconis,76.5,23.5,3.03,V,+4.79,+2.94,5.79,"B-V= +0.43, U-B= -0.01"
Bonner Durchmusterung +65°1203,86.2,26.4,0.81,V,+8.37,+6.26,0.27,"B-V= +0.93, U-B= +0.69"
Mu Arae,49.8,15.3,1.43,V,+5.13,+4.21,1.81,"B-V= +0.70, U-B= +0.24, R-I= +0.20"
58 Ophiuchi,57.2,17.5,1.32,V,+4.88,+3.66,3.00,"B-V= +0.47, U-B= -0.03, R-I= +0.26"
Bonner Durchmusterung +21°3198,76.8,23.6,0.86,V,+7.51,+5.65,0.48,"B-V= +0.77, U-B= +0.30, R-I= +0.29"
Luyten 205-128,19.0,5.81,,V,+10.75,+11.93,0.0015,"B-V= +1.65, U-B= +1.21, R-I= +1.11"
Bonner Durchmusterung +43°2796,30.9,9.49,,V,+10.49,+10.61,0.0050,"B-V= +1.53, U-B= +1.23, R-I= +1.02"
Bonner Durchmusterung +46°2361,73.3,22.5,,V,+10.72,+8.96,0.023,"B-V= +1.49, U-B= +1.27, R-I= +0.78"
Cordoba Durchmusterung -33°12476,87.7,26.9,0.87,V,+7.20,+5.05,0.83,"B-V= +0.71, U-B= +0.33, R-I= +0.24"
Bonner Durchmusterung +4°3509,125,38.2,0.75,V,+8.91,+6.00,0.35,"B-V= +0.84, U-B= +0.47, R-I= +0.31"
Bonner Durchmusterung +36°2941,306,93.7,,IV-V,+8.00,+3.14,4.83,
Bonner Durchmusterung -6°4663,71.4,21.9,0.57,V,+10.17,+8.47,0.036,"B-V= +1.43, U-B= +1.26, R-I= +0.69"
Eggen/Greenstein white dwarf 372,20.0,6.14,0.01,wd,+14.15,+15.21,0.000072,"B-V= +0.40, U-B= -0.30"
Bonner Durchmusterung +21°3245,81.1,24.9,,V,+8.50,+6.52,0.21,"B-V= +0.95, U-B= +0.70, R-I= +0.36"
Cape Photographic Durchmusterung -65°3528,113,34.6,,V,+6.36,+3.67,2.97,B-V= +0.45
Bonner Durchmusterung +3°3531a,85.8,26.3,,V,+10.03,+7.93,0.059,"B-V= +1.34, U-B= +1.23, R-I= +0.58"
Bonner Durchmusterung +18°3497,75.2,23.0,,V,+9.22,+7.41,0.095,"B-V= +1.18, U-B= +1.16, R-I= +0.48"
Bonner Durchmusterung +36°2975,101,30.9,,V,+8.02,+5.57,0.51,
Bonner Durchmusterung +4°3553,71,22,,V,+8.00,+6.31,0.3,
Cape Photographic Durchmusterung -51°10685,154,47.2,0.66,V,+9.64,+6.27,0.27,"B-V= +0.92, U-B= +0.72, R-I= +0.47"
Cordoba Durchmusterung -30°15026,130,39.9,,V,+9.34,+6.33,0.25,"B-V= +0.79, U-B= +0.35, R-I= +0.30"
Eggen/Greenstein white dwarf 199,53.0,16.3,0.0147,wd,+14.30,+13.24,0.00044,"B-V= +0.35, U-B= -0.52"
Zeta Serpentis,75.7,23.2,1.30,V,+4.62,+2.79,6.65,"B-V= +0.38, U-B= +0.00, R-I= +0.22"
Bonner Durchmusterung +26°3151,71.5,21.9,0.9,V,+7.01,+5.31,0.65,"B-V= +0.80, U-B= +0.47, R-I= +0.24"
Bonner Durchmusterung -3°4233,25.4,7.80,0.48,V,+9.37,+9.91,0.0094,"B-V= +1.52, U-B= +1.20, R-I= +0.85"
Bonner Durchmusterung +35°3145,69.8,21.4,,V,+10.00,+8.35,0.040,"B-V= +1.48, R-I= +0.82"
Cordoba Durchmusterung -36°12214,56.6,17.4,1.18,V,+5.90,+4.70,1.15,"B-V= +0.62, U-B= +0.07, R-I= +0.20"
Bonner Durchmusterung +4°3589,79.6,24.4,0.95,V,+6.80,+4.86,0.99,"B-V= +0.62, U-B= +0.04, R-I= +0.22"
Bonner Durchmusterung +15°3364,195,59.8,,,+8.69,+4.81,1.04,"B-V= +0.65, U-B= +0.16"
Iota Pavonis,57.9,17.8,1.26,IV-V,+5.47,+4.23,1.78,"B-V= +0.58, U-B= +0.09, R-I= +0.32"
Luyten 847-61,86.4,26.5,,V,+10.49,+8.38,0.039,"B-V= +1.38, U-B= +1.17, R-I= +0.66"
Bonner Durchmusterung +38°3095,36.20,11.10,0.859,V,+6.40,+6.17,0.296,"B-V= +0.87, U-B= +0.59, R-I= +0.34"
Cordoba Durchmusterung -43°12343,42.3,13.0,0.71,V,+8.38,+7.82,0.065,"B-V= +1.31, U-B= +1.22, R-I= +0.54"
Wolf 1414,87.3,26.8,,V,+9.91,+7.77,0.068,"B-V= +1.29, U-B= +1.25"
Bonner Durchmusterung +18°3606,96.2,29.5,,V,+10.06,+7.71,0.072,"B-V= +1.33, U-B= +1.31, R-I= +0.56"
36 Draconis,76.6,23.5,1.57,V,+5.00,+3.15,4.81,"B-V= +0.38, U-B= -0.04"
Bonner Durchmusterung +13°3578,62.0,19.0,,V,+10.18,+8.79,0.027,"B-V= +1.44, U-B= +1.24, R-I= +0.69"
Bonner Durchmusterung +45°2684,74.0,22.7,1.01,V,+6.28,+4.51,1.37,"B-V= +0.62, U-B= +0.12"
Bonner Durchmusterung +45°2688,55.8,17.1,,V,+10.32,+9.15,0.019,"B-V= +1.47, U-B= +1.20, R-I= +0.75"
Bonner Durchmusterung +26°3215,103,31.6,,V,+9.59,+7.09,0.13,"B-V= +1.02, U-B= +0.84, R-I= +0.41"
Cordoba Durchmusterung -45°12390,124,37.9,0.95,V,+6.84,+3.95,2.28,"B-V= +0.54, U-B= +0.07"
Cordoba Durchmusterung -45°12402,76,23,,V,+7.32,+5.49,0.6,B-V= +0.76
Bonner Durchmusterung -1°3474,63.0,19.3,0.67,V,+9.66,+8.23,0.044,"B-V= +1.37, U-B= +1.22, R-I= +0.61"
Bonner Durchmusterung -9°4692,68,21,,V,+6.91,+5.32,0.6,"B-V= +0.70, U-B= +0.31"
Eta Serpentis,61.8,18.9,9.36,III-IV,+3.25,+1.87,15.6,"B-V= +0.94, U-B= +0.66, R-I= +0.33"
Ross 136,47.2,14.5,,V-VI,+12.58,+11.78,0.0017,"B-V= +1.48, U-B= +1.07, R-I= +1.11"
Luyten Palomar 103-294,41.8,12.8,,wd,+15.65,+15.11,0.000078,"B-V= +0.97, U-B= +0.98"
Eggen/Greenstein white dwarf 176,65,20,,wd,+15.60,+14.09,0.0002,"B-V= +0.42, U-B= -0.60"
Lambda Sagittarii,77.3,23.7,10.7,IIIb,+2.82,+0.95,36.3,"B-V= +1.04, U-B= +0.89, R-I= +0.50"
Bonner Durchmusterung -1°3500,61.2,18.8,0.79,V,+8.04,+6.67,0.19,"B-V= +1.10, U-B= +1.06, R-I= +0.38"
Bonner Durchmusterung -18°4986,43.1,13.2,0.83,V,+6.81,+6.21,0.29,"B-V= +0.85, U-B= +0.56, R-I= +0.30"
Eggen/Greenstein white dwarf 374,48.5,14.9,,wd,+15.50,+14.64,0.00012,"B-V= +0.49, U-B= -0.44"
Cape Photographic Durchmusterung -62°5888,47,14,,V,+9.52,+8.75,0.03,"B-V= +1.45, R-I= +0.67"
Bonner Durchmusterung +79°590,79.6,24.4,,V,+9.70,+7.76,0.068,"B-V= +1.18, R-I= +0.47"
Bonner Durchmusterung +13°3677,82.1,25.2,,V,+7.19,+5.19,0.73,"B-V= +0.68, U-B= +0.24"
Bonner Durchmusterung -11°4672,82.9,25.4,,V,+10.03,+8.00,0.055,"B-V= +1.28, U-B= +1.20, R-I= +0.53"
V774 Herculis,76.4,23.4,0.68,V,+8.90 (increasing to +8.30),+7.05 (increasing to +6.45),0.13 (increasing to  0.23),"B-V= +1.12, U-B= +1.05, R-I= +0.42"
BY Draconis,53.6,16.4,1.38,V,+8.48 (increasing to +7.98),+7.40 (increasing to +6.90),0.095 (increasing to  0.15),"B-V= +1.22, U-B= +1.04"
Cordoba Durchmusterung -44°12736,511,157,,V,+10.32,+4.34,1.6,"B-V= +0.62, U-B= +0.00, R-I= +0.36"
Cordoba Durchmusterung -25°13291,98.3,30.1,0.88,V,+7.43,+5.04,0.84,"B-V= +0.69, U-B= +0.21"
Vega,25.30,7.756,3.151,V,+0.03,+0.58,50.84,"B-V= +0.00, U-B= -0.01, R-I= -0.09"
Gliese & Jahreiss 2138,41.5,12.7,,V,+11.28,+10.75,0.0043,"B-V= +1.56, U-B= +1.23, R-I= +0.98"
Bonner Durchmusterung -21°5081,42.3,13.0,0.93,V,+5.86,+5.29,0.67,"B-V= +0.68, U-B= +0.14, R-I= +0.24"
Bonner Durchmusterung +20°3876,201,61.6,,V-VI,+9.33,+5.38,0.61,"B-V= +0.65, U-B= +0.08"
Bonner Durchmusterung +42°3123,92.8,28.5,0.8,V,+8.34,+6.07,0.33,"B-V= +0.82, U-B= +0.39"
Wolf 1466,110,34,,V,+11.49,+8.85,0.03,"B-V= +1.55, R-I= +0.86"
Bonner Durchmusterung -13°5069,52.9,16.2,,V,+10.63,+9.58,0.013,"B-V= +1.50, U-B= +1.21, R-I= +0.84"
Cape Photographic Durchmusterung -50°10804,208,63.8,0.7,V,+9.31,+5.29,0.67,"B-V= +0.68, U-B= +0.14, R-I= +0.37"
Eggen/Greenstein white dwarf 200,62,19,,wd,+14.18,+12.80,0.0007,"B-V= +0.15, U-B= -0.61"
Eggen/Greenstein white dwarf 225,80.7,24.8,,wd,+14.92,+12.95,0.00057,"B-V= +0.14, U-B= -0.59"
Bonner Durchmusterung +43°3058,88.9,27.2,0.83,V,+7.54,+5.36,0.63,"B-V= +0.84, U-B= +0.58"
110 Herculis,62.3,19.1,2.46,V,+4.19,+2.79,6.70,"B-V= +0.46, U-B= +0.01, R-I= +0.17"
Cape Photographic Durchmusterung -50°10835,280,85.8,0.74,V,+8.69,+4.02,2.15,"B-V= +0.65, U-B= +0.14, R-I= +0.35"
Bonner Durchmusterung -3°4380,46.1,14.1,,V,+8.81,+8.06,0.052,"B-V= +1.29, U-B= +1.21, R-I= +0.54"
Bonner Durchmusterung +10°3665,56.4,17.3,0.78,V,+7.97,+6.78,0.17,"B-V= +1.07, U-B= +0.98, R-I= +0.40"
Bonner Durchmusterung +17°3729,55.7,17.1,0.68,V,+9.20,+8.04,0.053,"B-V= +1.28, U-B= +1.22, R-I= +0.60"
29 Sagittarii,76,23,,III,+5.24,+3.40,3.8,"B-V= +1.41, U-B= +2.42"
Ross 154,9.693,2.972,0.2,V,+11.00 (increasing to +9.70),+13.63 (increasing to +12.33),0.000306 (increasing to  0.00101),"B-V= +1.72, U-B= +1.30, R-I= +1.30"
Catalogue Astrographique +3°2528-176,71.1,21.8,,V,+10.73,+9.04,0.021,"B-V= +1.47, R-I= +0.79"
Catalogue Astrographique +16°247-80,50.9,15.6,,V,+10.16,+9.19,0.018,"B-V= +1.47, U-B= +1.14, R-I= +0.73"
Bonner Durchmusterung +52°2294,85.1,26.1,2.52,IVa,+5.51,+3.43,3.70,"B-V= +0.84, U-B= +0.51"
Cordoba Durchmusterung -37°12969,78.0,23.9,,V,+7.98,+6.09,0.32,"B-V= +0.88, U-B= +0.47, R-I= +0.34"
Nu(2) Sagittarii,270,82.9,24.9,IIIa,+5.00,+0.40,60.0,"B-V= +1.33, U-B= +1.51, R-I= +0.48"
V1285 Aquilae,37.8,11.6,,V,+10.30 (increasing to +9.30),+9.98 (increasing to +8.98),0.0089 (increasing to  0.022),"B-V= +1.53, U-B= +1.10, R-I= +1.08"
Bonner Durchmusterung +4°3911,78,24,0.75,V,+8.01,+6.12,0.3,"B-V= +0.90, U-B= +0.56, R-I= +0.33"
V775 Herculis,69.9,21.4,0.83,V,+8.07,+6.42,0.24,"B-V= +0.91, U-B= +0.55"
Cordoba Durchmusterung -48°12818,45.3,13.9,,V,+11.13,+10.42,0.0059,"B-V= +1.46, R-I= +1.02"
Bonner Durchmusterung +5°3993,36.2,11.1,0.64,V,+9.22,+8.99,0.022,"B-V= +1.46, U-B= +1.17, R-I= +0.76"
Bonner Durchmusterung +29°3423,76.4,23.4,0.97,V,+6.77,+4.92,0.94,"B-V= +0.58, U-B= +0.00"
Luyten 1138-44,84.8,26.0,,V,+10.86,+8.79,0.027,"B-V= +1.42, U-B= +1.26, R-I= +0.73"
Bonner Durchmusterung -0°3631,60,18,0.77,V,+8.36,+7.03,0.1,"B-V= +0.73, U-B= +0.29, R-I= +0.39"
Catalogue Astrographique +70°8247,43.6,13.4,0.008,wd,+13.20,+12.57,0.00082,"B-V= +0.05, U-B= -0.86"
Omicron Sagittarii,139,42.6,7.65,III,+3.76,+0.62,49.3,"B-V= +1.01, U-B= +0.85"
Bonner Durchmusterung +22°3579,108,33.2,0.74,V,+8.54,+5.94,0.37,"B-V= +0.81, U-B= +0.42"
Bonner Durchmusterung +25°3719,193,59.0,,IV-V,+7.20,+3.35,3.99,"B-V= +1.03, U-B= +1.10"
Cordoba Durchmusterung -37°13049,56.0,17.2,1.16,IV,+6.15,+4.98,0.89,"B-V= +0.71, U-B= +0.27, R-I= +0.35"
Tau Sagittarii,120,36.9,19.0,III,+3.32,+0.48,55.9,"B-V= +1.19, U-B= +1.15"
Cordoba Durchmusterung -42°13922,104,31.8,,V,+7.87,+5.36,0.63,"B-V= +0.86, U-B= +0.53"
Cordoba Durchmusterung -31°16381,93.9,28.8,,V,+7.82,+5.52,0.54,
Bonner Durchmusterung +16°3752,68.3,21.0,0.96,V,+6.09,+4.48,1.41,"B-V= +0.70, U-B= +0.27"
Bonner Durchmusterung +33°3339,94.9,29.1,,V,+9.45,+7.13,0.12,"B-V= +1.24, U-B= +1.17, R-I= +0.50"
Cape Photographic Durchmusterung -47°9196,65.4,20.1,0.7,V,+9.36,+7.85,0.063,"B-V= +1.32, U-B= +1.26, R-I= +0.58"
Bonner Durchmusterung +79°615,106,32.5,,V,+9.72,+7.16,0.12,"B-V= +1.10, U-B= +0.96, R-I= +0.46"
Catalogue Astrographique +2°2155-242,33.1,10.1,,V,+11.09,+11.05,0.0033,"B-V= +1.51, U-B= +1.04, R-I= +1.15"
59 Draconis,89.0,27.3,1.50,V,+5.13,+2.95,5.73,"B-V= +0.31, U-B= +0.00"
Bonner Durchmusterung +57°1961,65.2,20.0,2,V,+7.04,+5.53,0.53,"B-V= +0.79, U-B= +0.43"
Bonner Durchmusterung +24°3692,92.6,28.4,,V,+9.73,+7.47,0.090,"B-V= +1.35, U-B= +1.24, R-I= +0.58"
Luyten 347-14,18.6,5.69,0.24,V-VI,+12.23,+13.45,0.00036,"B-V= +1.68, U-B= +1.22, R-I= +1.33"
Eggen/Greenstein white dwarf 375,38.1,11.7,0.0172,wd,+14.57,+14.23,0.00018,"B-V= +0.44, U-B= -0.36"
Bonner Durchmusterung +37°3417,82.3,25.2,1.57,V,+6.29,+4.29,1.68,"B-V= +0.68, U-B= +0.21"
Cordoba Durchmusterung -35°13422,68.0,20.9,1.10,V,+6.48,+4.88,0.97,"B-V= +0.62, U-B= +0.19, R-I= +0.22"
Rho(1) Sagittarii,122,37.3,3.21,IV,+3.92,+1.06,32.8,"B-V= +0.23, U-B= +0.13"
Eggen/Greenstein white dwarf 201,64.1,19.6,,wd,+13.01,+11.54,0.0021,"B-V= +0.06, U-B= -0.66"
Catalogue Astrographique +28°53670,84,26,,V,+11.52,+9.47,0.01,"B-V= +1.41, U-B= +1.05, R-I= +0.86"
Cape Photographic Durchmusterung -66°3431,85.3,26.2,,V,+8.39,+6.31,0.26,"B-V= +1.04, U-B= +0.96, R-I= +0.32"
Cordoba Durchmusterung -22°13916,93.4,28.6,,V-VI,+10.91,+8.63,0.031,"B-V= +1.41, U-B= +1.15, R-I= +0.80"
