star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Bonner Durchmusterung +4°158 ,70.0,21.5,,V?,+8.16,+6.50,0.22,B-V= +1.00
Bonner Durchmusterung -11°192 ,67,20,,V,+10.04,+8.49,0.03,B-V= +1.35
Wolf 47,29.4,9.02,,,+13.66,+13.88,0.00024,B-V= +1.68
Eggen/Greenstein white dwarf 7,69.7,21.4,,wd,+13.96,+12.31,0.0010,B-V= +0.31
Cordoba Durchmusterung -26°348 ,83.7,25.6,0.69,V,+9.78,+7.73,0.070,B-V= +1.19
Cordoba Durchmusterung -40°239 ,132,40.3,,IV,+7.72,+4.70,1.15,B-V= +0.60
Bonner Durchmusterung +63°137 ,48.5,14.9,,V,+8.98,+8.12,0.049,B-V= +1.30
Cordoba Durchmusterung -51°273 ,96.0,29.4,0.75,V,+8.84,+6.50,0.22,B-V= +0.94
Giclas 269-106,43,13,,V,+13.42,+12.82,0.0006,B-V= +1.70
Bonner Durchmusterung +16°120 ,105,32,,V,+10.55,+8.01,0.05,B-V= +1.27
Eta Ceti,118,36.1,21.3,III,+3.44,+0.66,47.6,B-V= +1.16
Cordoba Durchmusterung -31°455 ,151,46.4,0.75,V,+9.10,+5.77,0.43,B-V= +0.79
Beta Andromedae,199,61.1,85.4,III,+2.05,-1.88,494,B-V= +1.57
Giclas white Dwarf 806,32.9,10.1,,wd,+14.09,+14.07,0.00021,
YZ Ceti,12.2,3.74,,V,+12.05,+14.19,0.00018,B-V= +1.84
Bonner Durchmusterung +40°248 ,146,44.7,,V?,+7.27,+4.02,2.15,B-V= +0.78
Cordoba Durchmusterung -42°432,441,135,,V,+8.47,+2.82,6.5,B-V= +0.56
Cape Photographic Durchmusterung -65°125,205,62.7,0.73,IV/V,+9.03,+5.04,0.84,B-V= +0.76
Nu Phoenicis,49.10,15.05,1.327,V,+4.96,+4.07,2.050,B-V= +0.58
Gliese 55.2,78,24,,V,+10.08,+8.20,0.05,B-V= +1.36
Bonner Durchmusterung -16°214 ,98.3,30.1,0.65,V,+9.75,+7.35,0.100,B-V= +1.00
Wolf 1516,51.1,15.7,,wd,+13.82,+12.84,0.00063,B-V= +0.12
Bonner Durchmusterung +79°38 ,58,18,,V,+9.66,+8.40,0.04,B-V= +1.29
Vyssotsky McCormick 372,136,42,,V,+10.64,+7.54,0.08,B-V= +1.14
Bonner Durchmusterung +75°58,54.85,16.82,0.93,V,+7.15,+6.02,0.341,B-V= +0.82
Bonner Durchmusterung +6°211 ,147,45.2,,V?,+7.24,+3.96,2.26,
Bonner Durchmusterung +17°202 ,108,33.1,0.74,V?,+8.49,+5.89,0.38,B-V= +0.89
Wolf 66,49,15,,V,+13.13,+12.26,0.001,B-V= +1.68
Eggen/Greenstein white dwarf 307,60.4,18.5,,wd,+14.95,+13.61,0.00031,B-V= +0.40
Bonner Durchmusterung +20°226 ,75.6,23.2,,V,+7.74,+5.91,0.38,B-V= +0.96
Bonner Durchmusterung +68°113 ,68.4,21.0,,V,+6.53,+4.92,0.94,B-V= +0.68
Cordoba Durchmusterung -44°434 ,116,35.4,,V,+7.83,+5.08,0.81,B-V= +0.83
Bonner Durchmusterung +33°256,80,25,,V?,+9.56,+7.61,0.08,B-V= +0.52
Upsilon Andromedae,43.93,13.47,1.737,V,+4.09,+3.44,3.650,B-V= +0.54
Cordoba Durchmusterung -30°549 ,110,33.6,0.83,V,+8.13,+5.50,0.55,B-V= +0.86
Catalogue Astrographique +56°13511,36.1,11.1,,V,+11.19,+10.97,0.0036,B-V= +1.39
Cordoba Durchmusterung -49°451 ,69,21,,V?,+10.50,+8.86,0.02,
Luyten 870-2,40.1,12.3,,wd,+12.84,+12.39,0.00096,B-V= +0.35
Catalogue Astrographique +44°66-318,130,40,,V,+10.84,+7.83,0.06,B-V= +1.20
Bonner Durchmusterung +66°145 ,120,36.7,0.87,V,+7.70,+4.88,0.97,B-V= +0.68
Bonner Durchmusterung +41°328 ,41.2,12.6,1.18,V,+4.96,+4.45,1.45,B-V= +0.62
Cordoba Durchmusterung -83°22,88.5,27.1,1.72,V,+5.87,+3.70,2.88,B-V= +0.61
Cape Photographic Durchmusterung -46°177,263,80.8,,V,+9.30,+4.76,1.08,B-V= +0.69
107 Piscis,24.36,7.468,0.963,V,+5.24,+5.88,0.389,B-V= +0.84
